order_id,customer_id,order_date,status
72,19,2025-08-04,pending
73,38,2025-11-26,pending
74,29,2026-03-29,completed
75,33,2026-04-30,completed
76,43,2025-03-28,completed
77,33,2025-12-10,completed
78,49,2025-08-29,completed
79,15,2025-07-23,completed
80,2,2025-02-17,completed
81,31,2025-03-16,pending
82,27,2025-07-19,pending
83,32,2026-02-14,completed
84,10,2025-01-06,completed
85,50,2026-03-12,completed
86,12,2026-06-15,pending
87,4,2026-07-25,completed
88,8,2026-04-13,completed
89,30,2026-06-28, pending 
90,39,2025-11-21,pending
91,40,2026-06-01,pending
92,36,2026-04-02,completed
93,48,2026-05-02,pending
94,17,2025-09-11,completed
95,50,2026-06-18,pending
96,41,2025-09-02,completed
97,29,2025-03-21,completed
98,16,2025-10-06,completed
99,21,2026-07-08,completed
100,9,2025-06-04,completed
101,25,2025-06-06,completed
102,5,2026-03-01,pending
103,22,2026-07-10,pending
104,27,2025-03-05,completed
105,27,2026-02-03,cancelled
106,45,2025-01-21,cancelled
107,25,2026-05-04,completed
108,23,2025-11-02,pending
109,27,2026-07-06,cancelled
110,39,2025-08-14,pending
111,15,2025-10-07,pending
112,32,2025-01-30,pending
113,22,2026-02-19,completed
114,30,2025-05-11,cancelled
115,35,2025-01-28,pending
116,38,2026-08-01,completed
117,6,2026-03-15,completed
118,30,2025-07-06,completed
119,17,2026-01-24,completed
120,14,2026-04-11,completed
121,22,2026-01-24,completed
122,49,2026-03-08,completed
123,6,2026-04-27,completed
124,48,2026-07-07,completed
125,23,2025-08-18,completed
126,50,2025-02-11,completed
127,16,2025-07-24,completed
128,40,2025-06-06,completed
129,9,2026-04-30,completed
130,37,2025-08-12,pending
131,45,2025-09-20,completed
132,11,2025-04-28,completed
133,20,2025-04-21,cancelled
134,2,2025-11-16,cancelled
135,44,2026-01-20,pending
136,46,2025-07-23,completed
137,38,2025-09-06,completed
138,45,2025-11-05,cancelled
139,8,2026-08-03,completed
140,23,2026-06-30,pending
141,43,2026-01-15,completed
142,33,2025-12-16,completed
143,27,2026-05-17,completed
144,28,2026-01-06,pending
145,46,2025-06-06,pending
146,12,2026-06-19,completed
147,40,2026-07-06,pending
148,30,2026-03-23,cancelled
149,18,2025-11-27,completed
150,6,2025-10-13,pending
151,16,2026-04-21,cancelled
152,40,2026-01-24,completed
153,2,2026-05-22,completed
154,12,2026-05-15,completed
155,23,2025-09-22,completed
156,18,2025-10-10,cancelled
157,1,2026-06-14,completed
158,6,2025-09-05,pending
159,32,2026-07-23,completed
160,45,2026-05-03,pending
161,29,2025-01-18,completed
162,19,2025-08-15,pending
163,45,2025-09-07,completed
164,43,2026-01-13,pending
165,36,2026-06-28,completed
166,28,2026-07-18,completed
167,23,2026-04-10,completed
168,20,2025-09-15,completed
169,8,2025-07-17,completed
170,8,2026-07-03,completed
171,13,2025-08-10,pending
172,18,2026-06-22,cancelled
173,19,2025-04-13,completed
174,19,2025-08-21,completed
175,12,2025-11-06,completed
176,46,2026-07-01,completed
177,18,2025-02-16,completed
178,36,2025-10-27,completed
179,41,2026-05-18,completed
180,1,2025-10-19,pending
181,31,2026-03-28,completed
182,12,2025-02-22,completed
183,31,2025-04-27,completed
184,26,2026-05-19,completed
185,37,2025-02-24,completed
186,10,2026-07-31,completed
187,6,2025-09-12,completed
188,36,2026-03-03,cancelled
189,39,2025-08-20,cancelled
190,25,2026-04-07,pending
191,20,2026-03-16,completed
192,37,2025-03-03,cancelled
193,48,2025-04-12,completed
194,41,2025-08-05,completed
195,43,2025-03-25,completed
196,16,2025-06-27,cancelled
197,5,2025-06-10,completed
198,27,2026-04-07,cancelled
199,31,2025-10-26,completed
200,15,2025-10-23,completed
201,45,2026-04-10,completed
202,44,2025-08-28,completed
203,41,2025-07-22,pending
204,8,2026-07-12,completed
205,42,2025-06-02,CANCELLED
206,10,2025-03-15,completed
207,11,2025-11-11,cancelled
208,48,2025-10-23,pending
209,8,2026-04-25,completed
210,45,2026-02-17,completed
211,33,2026-07-07,pending
212,29,2025-03-24,cancelled
213,3,2026-03-19,completed
214,39,2025-09-14,completed
215,6,2025-08-23,cancelled
216,38,2025-01-22,completed
217,37,2025-02-11,completed
218,31,2026-06-16,pending
219,18,2025-07-05,cancelled
220,28,2026-05-19,completed
221,31,2025-12-23,pending
222,22,2025-11-25,completed
223,11,2025-12-04,pending
224,45,2026-05-23,completed
225,43,2026-02-15,cancelled
226,3,2026-04-11,completed
227,21,2025-09-16,completed
228,8,2026-02-18,cancelled
229,1,2026-07-10,pending
230,27,2025-02-25,completed
231,34,2026-01-06,cancelled
232,49,2026-05-26,pending
233,49,2025-02-22,completed
234,18,2026-07-17,completed
235,19,2026-03-25,pending
236,8,2025-01-30,cancelled
237,16,2025-06-12,completed
238,36,2025-01-15,cancelled
239,27,2025-04-06,completed
240,8,2026-04-18,completed
241,42,2025-06-07,pending
242,46,2025-10-26,cancelled
243,46,2025-10-07,pending
244,31,2026-04-29,completed
245,30,2026-07-19,completed
246,25,2025-07-15,cancelled
247,33,2025-05-20,completed
248,18,2026-03-01,completed
249,33,2025-10-01,completed
250,19,2025-11-02,cancelled
251,38,2026-05-17,completed
252,29,2026-07-06,pending
253,23,2025-12-07,cancelled
254,49,2026-07-11,pending
255,30,2025-11-26,completed
256,45,2025-09-02,cancelled
257,25,2025-08-28,pending
258,3,2025-11-22,pending
259,46,2026-01-26,pending
260,43,2025-06-05,pending
261,3,2025-05-10,cancelled
262,38,2025-12-06,completed
263,29,2025-04-13,cancelled
264,30,2025-01-16,completed
265,27,2025-06-08,completed
266,31,2025-09-29,completed
267,40,2026-02-12,completed
268,22,2026-07-01,pending
269,21,2026-05-15,cancelled
270,3,2025-03-12,completed
271,41,2025-10-22,completed
272,48,2025-04-03,pending
273,7,2025-04-13,pending
274,11,2025-11-03,completed
275,3,2025-11-29,completed
276,19,2026-01-03,completed
277,28,2025-05-30,completed
278,34,2026-02-26,cancelled
279,44,2025-07-04,completed
280,12,2025-03-22,cancelled
281,25,2025-09-04,pending
282,38,2025-05-27,completed
283,30,2025-09-18,pending
284,17,2025-01-10,pending
285,19,2026-07-14,completed
286,5,2026-03-29,completed
287,38,2025-11-03,pending
288,45,2025-09-14,pending
289,20,2025-07-23,pending
290,31,2025-04-20,completed
291,25,2026-01-03,cancelled
292,19,2025-10-30,completed
293,43,2026-02-10,completed
294,1,2026-08-03,completed
295,39,2026-05-24,completed
296,50,2025-08-24,cancelled
297,23,2025-08-13,completed
298,40,2025-09-14,completed
299,41,2025-04-10,completed
300,20,2026-03-28,completed
