order_item_id,order_id,product_id,quantity,unit_price
213,142,5,4,67.52
214,184,26,2,66.6
215,227,13,3,119.18
216,37,4,1,110.11
217,273,10,4,60.11
218,59,25,3,142.78
219,259,5,1,64.3
220,119,14,4,25.72
221,213,18,5,193.49
222,187,4,1,110.11
223,113,12,5,154.1
224,271,20,5,47.36
225,167,28,4,220.08
226,165,10,4,54.1
227,26,25,1,149.92
228,117,29,5,128.81
229,77,19,5,75.27
230,174,22,4,25.28
231,176,5,3,64.3
232,233,9,4,176.95
233,207,3,2,168.52
234,152,9,4,176.95
235,296,16,1,54.53
236,78,9,2,185.8
237,259,21,4,68.98
238,75,20,2,42.62
239,71,4,2,110.11
240,4,1,4,34.94
241,35,27,5,94.57
242,258,26,3,57.09
243,8,11,4,31.96
244,182,20,2,47.36
245,47,11,5,31.96
246,107,7,4,109.52
247,56,6,4,56.12
248,224,10,4,57.1
249,148,26,2,63.43
250,41,13,3,107.26
251,260,12,1,146.39
252,4,7,5,104.04
253,174,6,5,56.12
254,293,24,4,77.0
255,105,7,4,109.52
256,24,27,1,94.57
257,42,22,4,25.28
258,15,21,3,72.61
259,111,9,2,185.8
260,173,14,4,27.07
261,14,15,5,141.91
262,55,19,4,71.51
263,226,17,4,59.99
264,63,2,3,65.12
265,48,29,5,122.37
266,233,21,1,72.61
267,11,25,2,149.92
268,49,22,3,25.28
269,101,21,5,72.61
270,129,19,4,75.27
271,181,26,4,63.43
272,146,1,1,34.94
273,281,8,5,214.07
274,191,17,5,59.99
275,116,23,5,184.45
276,22,15,3,141.91
277,83,15,5,165.56
278,85,17,2,63.15
279,156,1,4,34.94
280,286,10,4,60.11
281,75,4,2,110.11
282,56,10,3,54.1
283,273,26,2,60.26
284,258,16,3,49.08
285,222,4,4,115.62
286,213,23,4,184.45
287,192,3,3,187.24
288,90,26,1,63.43
289,66,28,3,231.08
290,260,4,2,115.62
291,265,8,5,203.88
292,239,18,2,214.99
293,219,18,4,193.49
294,297,8,4,214.07
295,78,6,2,58.93
296,186,22,4,22.75
297,176,1,5,34.94
298,295,15,5,141.91
299,210,13,1,125.14
300,211,7,2,109.52
301,270,25,1,135.64
302,243,4,5,110.11
303,141,12,3,154.1
304,59,15,1,157.68
305,47,22,4,24.02
306,281,21,3,68.98
307,67,13,5,107.26
308,283,19,1,75.27
309,167,12,4,146.39
310,190,6,3,53.31
311,199,19,1,79.03
312,284,5,3,64.3
313,102,8,3,203.88
314,72,6,3,58.93
315,253,5,5,57.87
316,122,14,5,27.07
317,72,19,4,67.74
318,14,6,4,58.93
319,47,18,2,204.24
320,115,6,4,56.12
321,261,5,2,64.3
322,190,27,4,99.83
323,50,2,3,62.02
324,81,16,2,54.53
325,167,27,4,99.83
326,149,17,4,56.84
327,278,22,4,22.75
328,282,23,4,166.0
329,34,6,1,53.31
330,178,1,2,34.94
331,164,2,3,62.02
332,189,18,3,214.99
333,190,25,4,135.64
334,89,24,4,69.66
335,76,17,1,59.99
336,38,4,3,104.6
337,42,27,3,99.83
338,63,27,1,110.33
339,232,15,5,157.68
340,252,14,1,28.42
341,141,27,2,105.08
342,257,28,1,198.07
343,110,9,3,176.95
344,80,15,1,157.68
345,134,7,5,115.0
346,114,12,5,161.81
347,61,14,2,25.72
348,288,5,2,64.3
349,174,26,1,60.26
350,186,12,5,154.1
351,256,20,5,47.36
352,23,11,3,30.44
353,14,19,3,71.51
354,59,29,1,128.81
355,90,25,4,142.78
356,140,9,2,185.8
357,275,28,2,220.08
358,161,5,3,64.3
359,221,25,4,128.5
360,54,5,5,67.52
361,272,9,4,159.25
362,71,15,1,165.56
363,218,26,1,57.09
364,249,17,3,66.31
365,117,30,3,107.14
366,191,16,3,51.8
367,190,1,1,36.69
368,231,15,3,157.68
369,158,26,5,57.09
370,79,7,4,109.52
371,68,16,3,54.53
372,115,27,3,105.08
373,30,18,5,214.99
374,121,19,4,75.27
375,269,29,1,128.81
376,188,4,4,110.11
377,8,4,2,99.1
378,121,15,1,141.91
379,109,7,2,115.0
380,73,10,2,60.11
381,18,3,3,187.24
382,225,3,3,196.6
383,211,29,2,128.81
384,188,13,3,125.14
385,74,23,2,166.0
386,16,21,1,76.24
387,80,4,1,110.11
388,33,16,1,54.53
389,221,19,2,71.51
390,262,22,4,25.28
391,187,1,3,34.94
392,208,28,4,231.08
393,263,5,4,64.3
394,140,8,4,203.88
395,87,24,1,73.33
396,30,11,3,30.44
397,188,5,4,64.3
398,227,21,2,72.61
399,223,17,5,63.15
400,140,20,2,42.62
401,288,12,2,161.81
402,59,24,2,66.0
403,40,20,4,47.36
404,129,3,1,187.24
405,180,25,1,135.64
406,155,24,4,73.33
407,24,14,3,27.07
408,255,8,3,214.07
409,219,3,2,177.88
410,80,20,5,49.73
411,27,20,3,49.73
412,229,1,3,34.94
413,157,17,5,59.99
414,152,7,4,109.52
415,196,21,1,72.61
416,168,16,4,54.53
417,222,8,4,214.07
418,53,20,1,44.99
419,4,29,1,128.81
420,233,30,3,119.04
421,31,13,5,107.26
422,93,12,5,161.81
423,90,6,4,56.12
424,215,1,5,34.94
425,291,1,3,34.94
426,89,2,1,55.82
427,218,17,3,66.31
428,257,23,5,166.0
429,43,14,4,27.07
430,277,21,5,68.98
431,137,20,2,47.36
432,266,3,3,187.24
433,75,17,2,63.15
434,206,18,3,193.49
435,114,19,1,75.27
436,20,23,4,193.67
437,255,28,2,220.08
438,289,8,1,183.49
439,285,4,4,104.6
440,198,20,1,47.36
441,226,22,2,25.28
442,118,1,2,36.69
443,204,1,2,31.45
444,224,12,5,146.39
445,189,26,3,63.43
446,67,12,2,161.81
447,64,25,3,149.92
448,140,29,1,128.81
449,206,11,4,30.44
450,189,17,1,63.15
451,246,23,5,193.67
452,25,3,4,168.52
453,143,17,3,63.15
454,16,16,5,54.53
455,183,12,2,154.1
456,147,25,1,135.64
457,98,22,1,25.28
458,136,24,5,73.33
459,159,2,1,62.02
460,205,2,4,62.02
461,130,13,2,119.18
462,243,30,1,113.09
463,279,26,4,63.43
464,184,11,2,27.4
465,204,30,3,119.04
466,264,27,1,99.83
467,179,12,1,146.39
468,162,22,1,25.28
469,22,8,5,203.88
470,34,13,1,107.26
471,103,28,3,220.08
472,24,11,1,28.92
473,288,15,1,157.68
474,272,7,3,104.04
475,237,26,3,66.6
476,39,20,2,42.62
477,235,12,5,138.69
478,290,25,2,149.92
479,215,29,5,128.81
480,33,5,1,57.87
481,288,1,2,33.19
482,68,12,1,154.1
483,109,1,4,36.69
484,73,24,3,73.33
485,246,7,5,109.52
486,253,14,4,27.07
487,238,5,3,64.3
488,210,2,2,58.92
489,106,14,3,24.36
490,216,24,1,69.66
491,90,4,5,110.11
492,203,21,4,72.61
493,8,19,5,75.27
494,174,14,2,27.07
495,62,10,3,60.11
496,181,30,4,124.99
497,23,27,3,105.08
498,69,15,3,157.68
499,171,3,2,187.24
500,98,25,5,142.78
501,208,5,1,64.3
502,298,15,4,157.68
503,147,14,1,25.72
504,287,12,2,138.69
505,240,10,4,60.11
506,290,28,1,220.08
507,112,6,3,58.93
508,124,23,5,184.45
509,177,7,3,109.52
510,35,3,2,187.24
511,120,13,5,119.18
512,277,22,3,25.28
513,231,27,-1,105.08
514,260,13,4,113.22
515,270,24,5,73.33
516,97,4,4,110.11
517,125,26,2,63.43
518,131,1,1,34.94
519,36,5,2,57.87
520,21,12,1,146.39
521,220,19,3,75.27
522,59,1,1,34.94
523,70,29,4,128.81
524,51,3,3,187.24
525,88,2,4,62.02
526,192,6,5,50.51
527,270,27,4,94.57
528,247,1,4,36.69
529,70,14,2,27.07
530,2,7,2,109.52
531,155,9,4,176.95
532,299,2,5,58.92
533,148,20,2,49.73
534,248,10,4,54.1
535,93,29,5,115.93
536,17,2,1,62.02
537,247,13,2,107.26
538,81,7,5,109.52
539,65,21,5,72.61
540,111,13,3,107.26
541,244,18,4,214.99
542,208,30,5,113.09
543,49,11,4,30.44
544,125,6,1,56.12
545,103,20,2,47.36
546,46,29,3,128.81
547,296,26,4,60.26
548,114,12,5,154.1
549,238,6,1,56.12
550,10,22,2,25.28
551,159,18,1,214.99
552,221,19,4,75.27
553,263,30,2,119.04
554,20,8,5,203.88
555,82,26,3,60.26
556,6,1,3,33.19
557,232,19,2,71.51
558,22,7,4,104.04
559,143,10,2,54.1
560,79,2,1,62.02
561,294,8,5,203.88
562,40,1,5,31.45
563,180,1,3,33.19
564,150,7,2,109.52
565,13,23,2,184.45
566,102,2,1,62.02
567,286,19,2,75.27
568,29,28,5,220.08
569,230,3,3,196.6
570,184,22,4,24.02
571,260,4,3,110.11
572,189,11,2,30.44
573,242,24,4,77.0
574,279,16,3,54.53
575,236,23,5,193.67
576,76,29,5,128.81
577,55,8,5,203.88
578,65,13,3,125.14
579,28,23,3,184.45
580,60,6,1,58.93
581,151,19,4,71.51
582,228,2,2,58.92
583,94,11,5,30.44
584,252,21,5,72.61
585,151,30,4,119.04
586,137,11,1,30.44
587,272,12,3,154.1
588,280,21,1,76.24
589,165,22,3,22.75
590,86,1,3,34.94
591,236,8,1,203.88
592,128,9,1,185.8
593,140,1,1,31.45
594,106,15,4,157.68
595,59,29,4,115.93
596,51,29,4,128.81
597,67,18,4,214.99
598,284,27,4,99.83
599,257,21,2,72.61
600,142,15,1,157.68
601,205,10,1,60.11
602,166,9,1,176.95
603,33,11,2,27.4
604,47,6,1,53.31
605,180,29,1,128.81
606,109,20,5,42.62
607,289,23,1,166.0
608,212,21,2,68.98
609,165,29,4,128.81
610,131,2,1,62.02
611,228,7,2,98.57
612,199,23,5,193.67
613,161,30,5,119.04
614,89,22,3,25.28
615,245,8,1,203.88
616,175,13,5,113.22
617,240,27,4,105.08
618,196,2,3,62.02
619,292,14,1,27.07
620,65,27,5,94.57
621,244,7,1,109.52
622,17,7,2,115.0
623,9,10,1,54.1
624,45,28,1,220.08
625,44,26,4,57.09
626,170,16,3,54.53
627,186,21,5,65.35
628,167,6,3,50.51
629,158,12,2,138.69
630,166,2,3,55.82
631,214,15,3,157.68
632,135,27,3,99.83
633,288,2,2,65.12
634,39,22,1,25.28
635,297,22,3,24.02
636,44,14,5,27.07
637,294,18,1,193.49
638,104,27,5,94.57
639,68,18,4,204.24
640,80,29,2,115.93
641,159,10,1,54.1
642,141,29,1,122.37
643,232,19,5,71.51
644,197,22,5,25.28
645,169,4,4,110.11
646,155,6,2,56.12
647,220,5,1,57.87
648,185,3,4,187.24
649,132,27,2,99.83
650,209,9,3,185.8
651,19,30,1,119.04
652,251,13,5,107.26
653,116,18,3,214.99
654,56,17,4,63.15
655,96,26,5,60.26
656,16,17,4,63.15
657,131,14,2,27.07
658,135,19,5,71.51
659,204,25,1,142.78
660,250,19,1,75.27
661,156,28,5,220.08
662,87,29,4,128.81
663,294,13,4,113.22
664,133,20,4,47.36
665,107,6,3,50.51
666,247,5,5,61.08
667,50,22,4,25.28
668,145,13,3,125.14
669,257,8,1,214.07
670,84,16,3,54.53
671,120,1,3,34.94
672,154,10,3,54.1
673,88,28,1,220.08
674,237,5,3,67.52
675,259,15,3,157.68
676,291,24,4,69.66
677,125,21,1,72.61
678,146,15,2,141.91
679,97,24,4,69.66
680,300,28,3,220.08
681,68,17,2,63.15
682,242,10,5,54.1
683,35,5,5,61.08
684,132,1,2,34.94
685,54,29,2,128.81
686,149,8,1,183.49
687,114,2,3,65.12
688,122,7,3,109.52
689,65,27,4,99.83
690,290,13,1,125.14
691,189,1,2,34.94
692,144,16,5,49.08
693,163,6,4,53.31
694,224,18,3,214.99
695,290,6,3,58.93
696,206,27,1,105.08
697,38,1,4,34.94
698,228,6,5,56.12
699,254,28,2,231.08
700,41,8,2,203.88
