payment_id,order_id,payment_method,amount,payment_date
244,244,apple_pay,1347.76,2026-05-01
245,245,paypal,203.88,2026-07-21
246,246,card,1515.95,2025-07-16
247,247,card,666.68,2025-05-22
248,248,apple_pay,216.4,2026-03-01
249,249,card,402.81,2025-10-01
250,250,card,184.79,2025-11-04
251,251,paypal,704.66,2026-05-17
252,252,paypal,391.47,2026-07-06
253,253,paypal,511.31,2025-12-09
254,254,card,462.16,2026-07-11
255,255,paypal,1082.37,2025-11-28
256,256,card,236.8,2025-09-02
257,257,apple_pay,1387.36,2025-08-29
258,258,invoice,318.51,2025-11-22
259,259,apple_pay,813.26,2026-01-28
260,260,paypal,1160.84,2025-06-05
261,261,card,128.6,2025-05-12
262,262,apple_pay,569.28,2025-12-07
263,263,paypal,570.55,2025-04-14
264,264,card,99.83,2025-01-18
265,265,paypal,1019.4,2025-06-08
266,266,apple_pay,561.72,2025-09-29
267,267,paypal,525.86,2026-02-12
268,268,invoice,199.8,2026-07-03
269,269,invoice,365.61,2026-05-17
270,270,apple_pay,880.57,2025-03-13
271,271,card,236.8,2025-10-22
272,272,invoice,2454.78,2025-04-03
273,273,card,360.96,2025-04-15
274,274,card,554.76,2025-11-04
275,275,paypal,566.56,2025-11-30
276,276,paypal,394.44,2026-01-05
277,277,invoice,1083.96,2025-05-30
278,278,paypal,91.0,2026-02-28
279,279,paypal,417.31,2025-07-04
280,280,invoice,76.24,2025-03-23
281,281,invoice,1277.29,2025-09-04
282,282,card,664.0,2025-05-28
283,283,paypal,720.24,2025-09-20
284,284,paypal,1234.43,2025-01-11
285,285,paypal,1435.42,2026-07-14
286,286,invoice,643.53,2026-03-31
287,287,card,538.78,2025-11-03
288,288,invoice,806.52,2025-09-16
289,289,apple_pay,349.49,2025-07-24
290,290,paypal,821.85,2025-04-20
291,291,invoice,383.46,2026-01-03
292,292,paypal,27.07,2025-11-01
293,293,paypal,434.24,2026-02-11
294,294,invoice,1665.77,2026-08-04
295,295,apple_pay,880.03,2026-05-26
296,296,card,295.57,2025-08-26
297,297,paypal,1895.79,2025-08-13
298,298,invoice,1094.44,2025-09-15
299,299,invoice,294.6,2025-04-12
300,300,paypal,1362.0,2026-03-28
